Sales,Quantity,Discount,Profit,Shipping_Duration_Days,Order_Year,Order_Month,Order_Day,Order_Weekday,Sub-Category_Chairs,Sub-Category_Furnishings,Sub-Category_Tables,Segment_Corporate,Segment_Home Office,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Region_East,Region_South,Region_West,State_Encoded,City_Grouped_Columbus,City_Grouped_Dallas,City_Grouped_Houston,City_Grouped_Los Angeles,City_Grouped_New York City,City_Grouped_Other,City_Grouped_Philadelphia,City_Grouped_San Diego,City_Grouped_San Francisco,City_Grouped_Seattle
261.96,2,0.0,41.9136,3,2016,11,8,1,False,False,False,False,False,False,True,False,False,True,False,15,False,False,False,False,False,True,False,False,False,False
731.94,3,0.0,219.582,3,2016,11,8,1,True,False,False,False,False,False,True,False,False,True,False,15,False,False,False,False,False,True,False,False,False,False
957.5775,5,0.45,-383.031,7,2015,10,11,6,False,False,True,False,False,False,False,True,False,True,False,8,False,False,False,False,False,True,False,False,False,False
48.86,7,0.0,14.1694,5,2014,6,9,0,False,True,False,False,False,False,False,True,False,False,True,3,False,False,False,True,False,False,False,False,False,False
71.372,2,0.3,-1.0196,2,2017,7,16,6,True,False,False,False,False,False,True,False,True,False,False,35,False,False,False,False,False,False,True,False,False,False
124.2,3,0.2,15.525,4,2015,9,17,3,False,True,False,False,False,False,False,True,True,False,False,35,False,False,False,False,False,False,True,False,False,False
190.92,5,0.6,-147.963,2,2016,12,8,3,False,True,False,True,False,False,False,False,False,False,False,40,False,False,False,False,False,True,False,False,False,False
532.3992,3,0.32,-46.9764,4,2015,12,27,6,False,False,False,False,True,False,False,True,False,False,False,40,False,False,True,False,False,False,False,False,False,False
212.058,3,0.3,-15.147,4,2015,12,27,6,True,False,False,False,True,False,False,True,False,False,False,40,False,False,True,False,False,False,False,False,False,False
6.16,2,0.0,2.9568,4,2015,4,18,5,False,True,False,False,False,False,False,True,False,False,False,12,False,False,False,False,False,True,False,False,False,False
89.99,1,0.0,17.0981,4,2015,4,18,5,True,False,False,False,False,False,False,True,False,False,False,12,False,False,False,False,False,True,False,False,False,False
